722 734
639 228 80
663 238 58
472 280 78
513 351 90
572 480 58
468 439 27
2 286 83
591 600 28
223 686 32
264 144 78
73 117 88
122 208 81
486 357 85
121 501 48
380 569 56
332 92 67
237 2 13
207 184 32
391 171 51
283 381 85
136 355 96
535 4 40
372 55 22
261 141 71
188 34 93
692 324 13
106 561 15
61 717 60
163 687 79
713 420 71
271 347 98
34 657 38
314 386 41
511 14 2
55 232 72
529 97 69
626 549 3
160 245 53
496 331 20
128 238 51
519 508 5
245 262 44
323 209 61
307 628 90
361 398 84
399 312 16
629 2 46
446 283 5
223 75 24
228 541 82
682 204 60
624 228 25
243 647 36
499 440 17
351 528 8
151 22 71
504 635 50
459 533 67
335 310 97
87 531 1
446 597 91
478 101 59
182 276 66
627 560 15
131 220 54
338 262 24
717 372 28
401 691 75
287 396 36
309 548 85
318 396 33
289 441 93
283 220 19
431 445 93
340 638 67
506 46 17
100 717 97
715 395 66
56 406 74
628 168 70
135 651 93
642 143 5
433 273 26
10 272 90
680 92 51
317 70 36
641 395 4
507 561 9
112 37 39
10 319 88
443 241 48
387 675 98
332 47 24
597 694 23
130 91 54
586 105 90
646 672 37
534 76 18
377 204 26
149 537 99
359 703 95
331 268 76
567 662 56
634 272 50
668 543 64
46 320 41
401 6 76
412 34 43
12 506 63
389 486 1
536 687 94
464 553 28
534 707 65
526 544 4
548 213 16
116 311 25
655 722 63
375 448 64
575 586 54
658 89 34
271 383 42
276 388 16
610 305 73
532 42 75
517 316 94
303 318 53
346 546 3
306 715 28
581 471 98
74 494 26
683 647 20
164 93 3
716 59 50
592 473 44
417 239 14
617 142 38
370 94 96
379 393 59
417 373 43
285 56 68
452 424 59
12 718 98
17 240 1
527 332 38
566 269 36
445 707 25
171 518 80
201 475 95
424 332 51
609 116 20
434 41 21
169 303 33
115 541 3
475 439 82
63 69 35
192 287 78
706 374 72
93 170 89
382 364 94
58 525 15
701 3 68
112 562 88
585 11 37
524 28 52
566 208 63
453 116 49
109 415 45
456 314 67
366 306 98
487 126 99
450 236 49
661 630 37
509 641 32
560 34 67
343 580 65
504 478 50
299 186 15
674 475 12
381 230 5
678 161 59
538 209 53
681 248 4
356 239 96
69 252 90
719 335 37
126 540 85
389 320 26
263 322 33
609 698 58
538 600 28
359 32 93
101 606 61
298 691 74
502 47 12
132 36 79
39 15 16
534 676 16
273 665 85
513 280 7
112 456 71
462 287 82
461 77 73
514 717 58
545 625 76
509 534 45
239 307 42
359 418 90
131 641 68
510 446 47
270 132 40
64 59 49
573 344 73
623 667 98
651 105 59
625 722 57
339 467 11
655 26 98
282 344 43
229 118 98
287 530 80
268 649 22
16 427 65
345 664 96
127 660 39
483 149 13
295 484 38
23 512 64
312 592 60
195 340 45
266 609 28
440 516 57
135 248 57
611 43 82
221 665 75
88 279 47
371 9 44
106 172 17
14 722 44
421 198 27
434 234 32
694 607 9
361 617 64
279 426 67
617 686 16
703 662 38
3 382 10
84 687 25
227 499 31
556 660 23
36 199 19
560 478 63
519 172 49
608 476 86
166 664 40
312 234 65
354 322 69
34 505 7
255 210 93
660 266 18
88 643 71
229 317 44
74 199 92
591 414 1
524 464 19
315 275 40
205 592 22
52 251 84
541 552 7
81 55 41
350 564 24
31 306 55
489 359 33
159 214 15
26 94 47
576 441 84
438 166 92
337 186 48
572 122 51
272 197 83
238 133 28
563 353 45
296 89 22
38 705 48
518 35 83
711 452 70
567 400 14
26 327 94
367 641 94
503 610 1
292 143 60
167 233 33
497 413 35
433 112 97
438 458 16
657 653 19
254 601 15
532 58 58
584 290 52
583 544 82
710 20 18
282 552 55
505 491 18
98 291 34
383 149 7
537 505 1
380 366 20
161 646 20
463 657 64
205 423 9
721 94 66
605 703 81
264 521 74
147 473 34
421 256 100
436 697 57
703 483 81
429 708 53
17 338 16
260 142 74
262 657 94
81 128 10
168 429 37
389 318 26
334 212 13
37 399 8
388 8 49
415 204 48
375 661 39
258 471 90
443 94 47
273 388 30
130 172 21
109 442 76
210 366 99
14 32 34
222 709 52
115 422 53
639 646 31
677 340 76
46 11 35
118 46 99
664 470 92
6 716 72
18 71 11
108 149 28
138 539 76
531 16 55
504 442 16
249 344 45
405 96 75
437 612 94
74 570 70
328 250 90
466 449 50
625 688 69
277 491 43
283 571 20
702 156 34
554 411 15
202 209 39
507 292 9
654 212 41
372 110 67
233 167 37
315 708 57
524 298 94
535 614 58
396 194 97
718 257 70
122 427 99
140 422 79
483 578 70
256 433 1
409 267 57
684 721 91
371 429 11
559 371 74
245 592 88
307 18 77
636 22 77
176 608 9
595 691 15
362 621 5
185 591 29
95 104 89
511 444 28
356 664 98
44 25 35
518 464 64
437 646 95
167 467 2
526 535 67
553 142 55
455 223 49
604 536 81
693 369 13
389 294 6
535 686 90
508 235 63
284 715 41
445 217 11
97 295 34
414 167 28
702 654 58
310 574 67
503 465 47
597 490 77
23 400 5
218 532 9
344 102 92
673 291 7
411 614 92
130 284 84
139 483 99
720 359 100
704 577 20
482 661 90
414 217 29
671 128 3
100 269 56
466 588 6
588 617 56
212 167 63
89 449 87
162 201 26
261 257 5
243 288 6
587 154 98
327 575 29
614 526 40
236 628 72
396 45 6
62 646 51
692 136 68
56 503 47
242 295 9
199 533 92
633 56 41
